Supplementary Table 3B. Differentially methylated probes between HF2927 CSCs and SDCs.,,,,
gene,feat.cgi,csc_AVG,sdc_AVG,adj.P.Val
,IGR-opensea,0.287582212,0.204318411,0.01832333
PCDH9,Body-opensea,0.13149144,0.041596286,0.01832333
OR5V1,TSS1500-opensea,0.304137962,0.12300625,0.018351313
,IGR-shore,0.482751559,0.388717516,0.018351313
CNOT2,5'UTR-opensea,0.751099125,0.892242547,0.018364946
CASZ1,Body-island,0.785071748,0.70124031,0.018364946
SPP1,Body-opensea,0.77480427,0.888436333,0.018364946
MPPED2,1stExon-island,0.073786575,0.009064307,0.018364946
,IGR-opensea,0.128972039,0.23291584,0.018364946
,IGR-shore,0.560250224,0.464192171,0.018364946
,IGR-shelf,0.797369577,0.640130774,0.018383216
NPPB,1stExon-shore,0.512988219,0.385362988,0.018383216
FGF3,Body-island,0.503513279,0.399180637,0.018383216
MAFA,1stExon-island,0.304944411,0.399791688,0.018383216
GRM6,Body-shore,0.831427516,0.765759038,0.018383216
ADAM28,TSS200-opensea,0.428641973,0.321720833,0.018383216
POLG,Body-island,0.73548029,0.793991504,0.018383216
C1QC,Body-shore,0.618452583,0.520001483,0.018383216
KCNJ1,5'UTR-opensea,0.470346615,0.383169007,0.018383216
,IGR-opensea,0.112635504,0.214592164,0.018383216
JAKMIP3,Body-opensea,0.766378872,0.65437958,0.018383216
FAM101A,Body-island,0.857071214,0.936938112,0.018383216
C8orf85,TSS200-shore,0.803696222,0.705661526,0.018383216
C6orf142,Body-opensea,0.420545669,0.549202973,0.018383216
,IGR-island,0.240394688,0.321505474,0.018383216
,IGR-shelf,0.774690006,0.674428328,0.018383216
CSMD3,Body-island,0.091892098,0.149659087,0.018383216
DCLK1,TSS200-island,0.06090686,0.002738499,0.018383216
MIR203,TSS1500-island,0.15310097,0.25434426,0.018383216
,IGR-opensea,0.854567649,0.697278426,0.018383216
,IGR-opensea,0.602916446,0.514398811,0.018453529
SLC22A8,3'UTR-opensea,0.580090948,0.443951026,0.018453529
,IGR-opensea,0.681086263,0.518540257,0.018453529
ASGR2,Body-opensea,0.203954336,0.3451456,0.018453529
,IGR-opensea,0.586074379,0.797811894,0.018453529
LOXHD1,Body-shore,0.879369245,0.780197266,0.018453529
THSD4,Body-opensea,0.436482657,0.593116768,0.018454317
ZSWIM6,Body-island,0.08730556,0.006113185,0.018454317
FCGBP,Body-shore,0.524773404,0.463348842,0.018454317
,IGR-opensea,0.16560606,0.078917951,0.018546919
,IGR-island,0.379996046,0.48256654,0.018546919
ARHGEF10,Body-opensea,0.244090047,0.307774998,0.019041413
TF,3'UTR-opensea,0.884564073,0.793437483,0.019091289
TREM2,Body-opensea,0.775743049,0.638514758,0.019091289
PPARG,TSS1500-shore,0.886829262,0.78975563,0.019091289
,IGR-opensea,0.072190742,0.160223342,0.019123322
,IGR-shore,0.360080896,0.452366165,0.019135072
,IGR-island,0.710208686,0.574789366,0.019155193
,IGR-opensea,0.842081285,0.729046072,0.019155193
,IGR-opensea,0.896198273,0.829173252,0.019155193
,IGR-opensea,0.571242004,0.443389691,0.019216803
,IGR-shelf,0.320944569,0.452303605,0.019216803
,IGR-opensea,0.111742742,0.291037363,0.0192677
SDK1,Body-opensea,0.863418246,0.756672868,0.0192677
SSTR4,1stExon-island,0.495166194,0.41163759,0.019290263
WFDC13,TSS200-opensea,0.690796287,0.601350009,0.019439093
,IGR-shelf,0.918736758,0.811662611,0.019439093
,IGR-shore,0.65446519,0.490888152,0.019558543
,IGR-shore,0.716428053,0.612502835,0.019684292
,IGR-opensea,0.205345557,0.121508858,0.019684292
OR2J2,TSS1500-opensea,0.215634135,0.098687754,0.019684292
LOC149134,TSS1500-shore,0.85933563,0.712693904,0.019684292
MKNK2,Body-island,0.51175376,0.61556055,0.019684292
PACSIN1,Body-shore,0.223016082,0.287796214,0.019699647
TRIM58,TSS1500-shore,0.326814914,0.235224943,0.019699647
RARRES2,3'UTR-shore,0.697102268,0.620977973,0.019699647
GCC2,Body-shelf,0.852720634,0.766811763,0.019699647
,IGR-opensea,0.260176181,0.17019014,0.019757004
,IGR-opensea,0.270626026,0.337131138,0.019757004
JAKMIP1,Body-island,0.702095065,0.615122399,0.019757004
MKX,TSS1500-island,0.908942752,0.789479633,0.019757004
KIRREL3,Body-opensea,0.478846827,0.608942875,0.019757004
LYPD4,Body-opensea,0.637748474,0.504072931,0.019757004
,IGR-opensea,0.544687159,0.248956449,0.019757004
MYT1,5'UTR-island,0.870370576,0.767796734,0.019757004
SLC14A1,5'UTR-opensea,0.366270136,0.272975294,0.019757004
GJA1,TSS1500-opensea,0.639758223,0.772819112,0.019757004
PLD6,TSS1500-island,0.654735896,0.832092788,0.019757004
TFAP2C,TSS200-island,0.448059304,0.310585861,0.019757004
,IGR-opensea,0.561117201,0.421436774,0.019757004
KIAA1688,Body-shore,0.79767147,0.674859745,0.019757004
GRM8,TSS200-opensea,0.324136403,0.226730645,0.019757004
,IGR-island,0.674508106,0.538588744,0.019757004
,IGR-opensea,0.847302232,0.744163227,0.019757004
TGM6,Body-shelf,0.589875493,0.488007864,0.019757004
STK10,Body-opensea,0.751798809,0.854001144,0.019757004
COL9A3,TSS1500-island,0.428786451,0.486927129,0.019757004
SLC6A2,TSS200-island,0.053765367,0.112193071,0.019757004
LOC154822,TSS200-shore,0.76941987,0.632171876,0.019757004
PROM2,3'UTR-opensea,0.586440171,0.465514877,0.019757004
,IGR-opensea,0.681402501,0.595777608,0.019757004
RPL3,Body-opensea,0.695921976,0.757754613,0.019757004
MAD1L1,Body-shore,0.679529599,0.758250734,0.019757004
,IGR-opensea,0.132679932,0.065720749,0.019757004
,IGR-shore,0.135421108,0.251603924,0.019757004
PCDHA2,Body-shore,0.1869053,0.077981511,0.019757004
ATG4B,Body-island,0.572771729,0.698079195,0.019757004
,IGR-opensea,0.593477778,0.702326053,0.019757004
,IGR-opensea,0.263801942,0.393398881,0.019757004
C2orf7,Body-shore,0.126282214,0.205532112,0.019757004
,IGR-opensea,0.118375633,0.059574234,0.019757004
RIC3,Body-shelf,0.493805281,0.366252188,0.019757004
,IGR-opensea,0.360551926,0.133847738,0.019757004
,IGR-shore,0.088229835,0.205531465,0.019757004
,IGR-shore,0.455206845,0.377492768,0.019757004
,IGR-opensea,0.356704174,0.478681777,0.019757004
INTS6,Body-opensea,0.143025503,0.0526216,0.019757004
,IGR-opensea,0.71301369,0.764031909,0.019757004
HMCN1,Body-opensea,0.37392508,0.272677111,0.019757004
NTM,Body-opensea,0.396887502,0.505602161,0.019757004
,IGR-shore,0.209020305,0.404575083,0.019757004
MARVELD2,5'UTR-island,0.404080431,0.541126047,0.019757004
DNAH10,Body-shore,0.780279241,0.685413674,0.019757004
,IGR-island,0.497917769,0.396997115,0.019757004
,IGR-opensea,0.703528885,0.62072559,0.019757004
SH3PXD2B,Body-opensea,0.891931438,0.942945591,0.019757004
MCTP1,Body-shore,0.278029977,0.097311635,0.019757004
,IGR-shelf,0.659424555,0.533128192,0.019757004
,IGR-shelf,0.100395153,0.043347471,0.019757004
,IGR-shelf,0.718439189,0.579326211,0.019757004
,IGR-opensea,0.582185381,0.362239791,0.019757004
C20orf166,Body-shore,0.257005543,0.344168185,0.019757004
MLXIPL,1stExon-island,0.447160655,0.505491103,0.019757004
C20orf56,TSS1500-shore,0.426029006,0.557184077,0.019757004
ICMT,TSS1500-shore,0.28615287,0.457950913,0.019757004
,IGR-shelf,0.837882507,0.904669593,0.019757004
,IGR-shore,0.729511814,0.63788188,0.019757004
SNORD115-15,Body-opensea,0.622799122,0.504095426,0.019757004
NOVA1,Body-shelf,0.12261315,0.040814947,0.019757004
,IGR-opensea,0.520446128,0.44476169,0.019757004
SPHKAP,Body-opensea,0.7006175,0.549700637,0.019757004
ZNF718,Body-shelf,0.75962307,0.643185481,0.019757004
,IGR-opensea,0.636147219,0.357181184,0.019757004
,IGR-shore,0.690682939,0.633999096,0.019757004
,IGR-opensea,0.396181449,0.536376117,0.019757004
PHC2,Body-opensea,0.771154278,0.884390298,0.019757004
HLA-DQB2,Body-shore,0.152532094,0.237171249,0.019757004
NOTCH4,Body-opensea,0.711253441,0.461425285,0.019757004
,IGR-opensea,0.145090498,0.218169564,0.019757004
CXXC5,5'UTR-shore,0.437813597,0.628833847,0.019757004
C15orf26,Body-shelf,0.888790407,0.802197261,0.019757004
TTLL12,TSS1500-shore,0.189122162,0.323416334,0.019757004
,IGR-opensea,0.846170605,0.692871514,0.019757004
,IGR-shelf,0.767418827,0.69159022,0.019757004
TRIM15,5'UTR-opensea,0.513725985,0.594059583,0.019757004
,IGR-shelf,0.629003504,0.49181007,0.019757004
PDYN,TSS1500-opensea,0.337879962,0.241695214,0.019757004
FAM86A,3'UTR-opensea,0.2853845,0.233296498,0.019757004
BRMS1,TSS1500-shore,0.883631014,0.791989134,0.019757004
,IGR-shore,0.861127176,0.803356799,0.019757004
DNAJB6,Body-opensea,0.37180382,0.55957747,0.019757004
,IGR-opensea,0.615993503,0.523312174,0.019757004
,IGR-opensea,0.775870799,0.672792211,0.019757004
FOXL1,1stExon-island,0.162790553,0.227650785,0.019757004
,IGR-opensea,0.117783973,0.057590936,0.019757004
,IGR-opensea,0.304483946,0.382388362,0.019757004
TSC2,Body-island,0.571043445,0.64161771,0.019757004
,IGR-opensea,0.742673739,0.663034114,0.019757004
SERHL,Body-island,0.409812625,0.633334334,0.019757004
CD247,3'UTR-opensea,0.485574348,0.38404766,0.019757004
SLC27A6,TSS1500-island,0.148929026,0.239519452,0.019757004
,IGR-island,0.751291423,0.667081761,0.019757004
YJEFN3,Body-island,0.463502806,0.523218175,0.019757004
TRPC3,1stExon-shore,0.649156105,0.558148659,0.019757004
SOX8,Body-island,0.548015761,0.695730783,0.019757004
C13orf16,Body-shelf,0.591761783,0.698384695,0.019757004
,IGR-shore,0.744469872,0.872526204,0.019757004
SIN3B,TSS1500-opensea,0.665354854,0.533043414,0.019757004
,IGR-opensea,0.43648587,0.692643423,0.019757004
KIRREL3,Body-opensea,0.250616037,0.36079179,0.019757004
NPBWR2,1stExon-island,0.617239793,0.520756102,0.019757004
,IGR-opensea,0.147791882,0.067139108,0.019757004
ELMOD1,TSS1500-shore,0.132080006,0.242208107,0.019757004
,IGR-opensea,0.434915963,0.596233192,0.019757004
,IGR-island,0.199448869,0.300634717,0.019757004
OCA2,Body-shore,0.896046512,0.816350475,0.019757004
,IGR-opensea,0.591848316,0.679876984,0.019757004
,IGR-shore,0.813449968,0.655901779,0.019757004
,IGR-opensea,0.792961948,0.640127753,0.019857271
ZFP64,Body-island,0.151283022,0.243248148,0.019857271
