Supplementary Table 3A. Differentially methylated probes between HF2303 CSCs and SDCs.,,,,
gene,feat.cgi,CSC_AVG,SDC_AVG,adj.P.Val
,IGR-shore,0.090613647,0.035439403,0.136958402
FNDC3B,Body-opensea,0.557427907,0.697270465,0.136958402
PRAME,TSS200-shore,0.148721029,0.079517798,0.136958402
HK1,TSS1500-shelf,0.78364251,0.846170093,0.136958402
ALOX12B,Body-opensea,0.061786097,0.007789199,0.136958402
E2F1,1stExon-island,0.047447647,0.009493402,0.136958402
RIMS3,5'UTR-shelf,0.809892921,0.763880615,0.136958402
C20orf29,TSS200-island,0.059455433,0.014272639,0.136958402
UBR4,Body-opensea,0.888856334,0.829119451,0.136958402
COL9A3,TSS1500-island,0.480674102,0.437502535,0.136958402
KRT75,TSS200-opensea,0.721302148,0.633508484,0.136958402
EVPL,Body-shore,0.871337602,0.825770348,0.136958402
,IGR-shelf,0.683797992,0.602331841,0.136958402
NPR1,1stExon-island,0.078033041,0.02912125,0.136958402
CD164L2,1stExon-island,0.092279824,0.008157903,0.136958402
HERC3,TSS200-island,0.064965295,0.0120526,0.136958402
DPP4,Body-island,0.09654972,0.006007669,0.136958402
,IGR-island,1.002949244,0.94555612,0.136958402
TRIM8,TSS1500-island,0.096235189,0.032706394,0.136958402
CALCOCO2,5'UTR-island,0.100410102,0.039695094,0.136958402
GJC1,5'UTR-shelf,0.895718006,0.935464892,0.136958402
,IGR-opensea,0.737401027,0.665349847,0.136958402
OPA3,5'UTR-island,0.047341996,0.007460453,0.136958402
TEAD3,TSS1500-island,0.088349284,0.033759348,0.136958402
D4S234E,Body-shore,0.719203886,0.653214055,0.136958402
,IGR-opensea,0.62121348,0.706919219,0.136958402
PLA2G4D,Body-shore,0.826437061,0.720480165,0.136958402
ESR1,Body-opensea,0.127583866,0.039935414,0.136958402
CRISPLD2,Body-opensea,0.902181804,0.83309401,0.136958402
FHIT,5'UTR-opensea,0.931520821,0.976464837,0.136958402
HIST3H2BB,TSS1500-island,0.05849509,0.002888835,0.136958402
FAM132A,TSS200-island,0.065982358,0.013873518,0.136958402
HMX3,TSS200-island,0.095288762,0.03446623,0.136958402
KIAA0100,TSS1500-shore,0.138116489,0.085461853,0.136958402
,IGR-island,0.375172074,0.461348717,0.136958402
,IGR-opensea,0.872876625,0.819723812,0.136958402
